When: 高校生の時, Where: 図書館, Who: 私, What: 好きな作家と同じ名前の人に出会った, Why: 該当なし, How: 該当なし

When: 大学時代, Where: 留学先のホームステイ先, Who: 私とホストファミリー, What: 文化の違いで気まずくなった, Why: ジェスチャーを誤解された, How: 後で説明して誤解を解いた

When: アルバイト面接の時, Where: 待合室, Who: 私, What: 緊張で吐きそうになった, Why: 重要な面接だったから, How: 深呼吸を繰り返した

When: 初ボーナス, Where: デパート, Who: 私, What: 欲しかったバッグを買った, Why: 自分へのご褒美, How: 該当なし

When: 友達の誕生日パーティー, Where: カラオケボックス, Who: 私達, What: 騒ぎすぎて店員に注意された, Why: 興奮しすぎた, How: 該当なし

When: 台風の夜, Where: 自宅, Who: 私, What: 停電で怖い思いをした, Why: 台風の影響, How: 懐中電灯で過ごした

When: 高校生時代, Where: 塾, Who: 私, What: 居眠りして先生に怒られた, Why: 寝不足だった, How: 該当なし

When: 通勤途中, Where: 電車内, Who: 私, What: 吊革につかまろうとして、知らない人の手に触れてしまった, Why: 電車が揺れたから, How: 該当なし

When: 一人暮らしを始めたばかりの時, Where: スーパー, Who: 私, What: 食材を買いすぎて冷蔵庫に入りきらなかった, Why: 料理初心者で量の加減が分からなかった, How: 該当なし

When: 職場の送別会, Where: レストラン, Who: 私達, What: サプライズで上司にプレゼントを渡した, Why: 上司の転勤, How: みんなでカンパしてプレゼントを買った

When: 初めて犬を散歩に連れて行った時, Where: 公園, Who: 私と犬, What: 犬がリードを振り切って逃げてしまった, Why: リードをしっかり持っていなかった, How: 必死に追いかけて捕まえた

When: 大学の卒業論文提出前日, Where: パソコンの前, Who: 私, What: ファイルが消えてパニックになった, Why: 保存し忘れていた, How: 諦めて徹夜で書き直した

When: 子供時代, Where: 海水浴場, Who: 私, What: 波に遊ばれて溺れかけた, Why: 海の流れが速かった, How: ライフセーバーに助けられた

When: 海外旅行中, Where: レストラン, Who: 私, What: メニューが読めずに困った, Why: 現地の言葉が分からなかった, How: ジェスチャーで注文した

When: ある日, Where: バス停, Who: 私, What: バスに乗り遅れた, Why: 時間がギリギリだった, How: 該当なし

When: 仕事で大きなミスをした時, Where: 自分のデスク, Who: 私, What: 落ち込んで泣いてしまった, Why: ミスが大きな損失につながったため, How: 該当なし

When: 小学校の遠足, Where: 山, Who: 私と友達, What: はぐれて迷子になった, Why: 友達と違う道に進んでしまったから, How: 先生に電話で助けを求めた

When: 受験勉強中, Where: 自室, Who: 私, What: モチベーションが上がらず、現実逃避でゲームをしてしまった, Why: 勉強に疲れた, How: 該当なし

When: 旅行中, Where: 空港, Who: 私, What: 預け入れ荷物が紛失した, Why: 該当なし, How: 航空会社に問い合わせた

When: 中学校の体育祭, Where: グラウンド, Who: 私, What: 徒競走で最下位になった, Why: 運動が苦手, How: 該当なし

When: 兄の結婚式, Where: 結婚式場, Who: 私, What: 感動して泣いてしまった, Why: 兄の結婚が嬉しかったから, How: 該当なし

