When: 小学校時代, Where: 該当なし, Who: 私, What: 初めて補助輪なしで自転車に乗れた, Why: 該当なし, How: 父が後ろを押さえてくれていた

When: 旅先にて, Where: ホテル周辺, Who: 私と友達, What: ホテルへの帰り道が分からなくなり迷子になった, Why: 該当なし, How: 現地の方が親切に教えてくれた

When: アルバイト初日, Where: 職場, Who: 私, What: レジで計算を間違えてしまった, Why: 緊張していたから, How: 該当なし

When: 初任給をもらった日, Where: 該当なし, Who: 私, What: 両親へ感謝の気持ちを込めて贈り物, Why: 該当なし, How: 該当なし

When: 修学旅行中, Where: 宿舎の部屋, Who: 私と友達, What: 先生が来るまで夜更かししておしゃべり, Why: 該当なし, How: 該当なし

When: 雨の日の帰宅時, Where: 帰り道, Who: 私, What: 傘を持ってくるのを忘れてびしょ濡れに, Why: 傘を忘れたから, How: 該当なし

When: 幼少期, Where: 該当なし, Who: 私, What: お年玉を全部使ってしまった, Why: 該当なし, How: 該当なし

When: 学校へ行く途中, Where: 該当なし, Who: 私, What: 財布をなくした, Why: 該当なし, How: 心優しい人が警察に届けてくれたおかげで見つかった

When: 一人暮らしを始めた頃, Where: アパート, Who: 私, What: 洗濯ミスで洋服を縮ませてしまった, Why: 洗濯機の使い方がよく分からなかったから, How: 間違った設定で洗濯してしまった

When: 友達の結婚式, Where: 式場, Who: 私, What: スピーチの原稿を忘れてしまった, Why: あまりに緊張していたから, How: とっさにアドリブで乗り切った

When: 初めて猫を飼い始めた頃, Where: 自宅, Who: 私と猫, What: 愛猫が初めて私の膝の上で寝てくれた, Why: 該当なし, How: 該当なし

When: 大学の試験の前日, Where: 自宅, Who: 私, What: 徹夜で勉強したのに試験本番で頭が真っ白になった, Why: 詰め込み過ぎた, How: 夜通し勉強した

When: 幼い頃, Where: 夏祭り, Who: 私, What: 金魚すくいでたくさん金魚をすくったが、ほとんど死んでしまった, Why: 該当なし, How: 金魚すくいをした

When: 旅行中, Where: レストラン, Who: 私, What: とても美味しい食事を堪能した, Why: 該当なし, How: 該当なし

When: ある日, Where: 街中, Who: 私と知らないおばあさん, What: 道案内をした, Why: おばあさんに道を聞かれた, How: 該当なし

When: 仕事でミスをした時, Where: 会社, Who: 私と上司, What: 上司に励ましてもらった, Why: 私が落ち込んでいたから, How: 上司が優しい言葉をかけてくれた

When: 小学校の遠足, Where: バスの中, Who: 私と友達, What: お弁当を忘れてしまった, Why: 該当なし, How: 友達がおにぎりを分けてくれた

When: 受験勉強をしていた頃, Where: 自宅, Who: 私と母, What: 母が温かいお茶を入れてくれた, Why: 夜遅くまで勉強していたから, How: 該当なし

When: 旅行中, Where: 観光地, Who: 私, What: カメラを落として壊してしまった, Why: 該当なし, How: 該当なし

When: 小学校の運動会, Where: 校庭, Who: 私とクラスメート, What: リレーで転んでしまった, Why: 緊張していたから, How: 該当なし

When: 友達の誕生日, Where: 該当なし, Who: 私と友達, What: サプライズを計画していたが失敗に終わった, Why: うっかり友達に話してしまった, How: 該当なし

When: 初めての海外旅行, Where: 現地, Who: 私と親切な現地の人, What: 道に迷ってしまったが助けてもらった, Why: 道に迷ったから, How: 英語で話しかけて助けを求めた

When: 中学校の合唱コンクール, Where: 学校の体育館, Who: 私, What: 指揮者として合唱コンクールに参加した, Why: 該当なし, How: 指揮をした

When: 雨の日, Where: 駅のホーム, Who: 私と知らない人, What: 知らない人から傘をもらった, Why: 傘を忘れて困っていたから, How: 該当なし

When: ある日, Where: 電車の中, Who: 私, What: 電車に乗り過ごしてしまった, Why: 寝てしまったから, How: 該当なし

When: 初めて料理を作った時, Where: 自宅のキッチン, Who: 私, What: レシピを見ずに料理を作って失敗した, Why: レシピを見なかったから, How: 該当なし

When: 友達と山登りに行った時, Where: 山, Who: 私と友達, What: 登山をした, Why: 該当なし, How: 該当なし

When: 高校の文化祭の準備, Where: 学校, Who: 私達, What: 段ボールを壊してしまった, Why: 段ボールの上に座ってしまった, How: 該当なし

When: 仕事の帰り道, Where: 駅, Who: 私と駅員さん, What: 財布を落としたが、駅員さんが預かってくれていた, Why: 該当なし, How: 該当なし

When: 友達と映画を見に行った時, Where: 映画館, Who: 私と友達, What: 映画を見て感動した, Why: 該当なし, How: 該当なし

When: 祖母の家, Where: 祖母の部屋, Who: 私と祖母, What: 古いアルバムを一緒に見た, Why: 該当なし, How: 該当なし

When: 初めての運転免許試験, Where: 試験場, Who: 私, What: 運転免許試験に落ちてしまった, Why: 緊張のあまり縁石に乗り上げてしまった, How: 該当なし

When: 友達とカフェでおしゃべりしていた時, Where: カフェ, Who: 私と友達と隣の席の人, What: 隣の席の人と話が盛り上がった, Why: 同じ趣味を持っていたから, How: 該当なし

When: 幼い頃, Where: 自宅, Who: 私と両親, What: クリスマスプレゼントを偶然見つけてサンタクロースの正体に気づいた, Why: 該当なし, How: プレゼントを探していた

When: 新入社員を指導する立場になった時, Where: 会社, Who: 私と新入社員, What: 新人指導を担当した, Why: 該当なし, How: 該当なし

When: 実家に帰省した時, Where: 実家, Who: 私と愛犬, What: 愛犬と再会, Why: 該当なし, How: 該当なし

When: 旅先で, Where: 観光地, Who: 私, What: スマートフォンのバッテリーが切れて地図アプリが使えなくなった, Why: 充電切れ, How: 近くにいた人に道を尋ねた

When: 初めてボーナスを受け取った時, Where: 高級レストラン, Who: 私, What: ボーナスで少し贅沢な食事, Why: ボーナスをもらったので贅沢をしたかった, How: 該当なし

When: 高校生の頃, Where: 教室, Who: 私と担任の先生, What: 先生から励ましの言葉を貰った, Why: 該当なし, How: 先生が「大丈夫、君ならできる」と言ってくれた

When: ある日電車に乗っていた時, Where: 電車の中, Who: 私と高齢者, What: 高齢の方に席を譲る, Why: 該当なし, How: 該当なし

When: 友人と遊園地へ行った時, Where: 遊園地, Who: 私と友達, What: ジェットコースターに乗る直前で怖くなってやめた, Why: ジェットコースターが怖かった, How: 該当なし

When: 仕事で失敗した時, Where: オフィス, Who: 私と会社の同僚, What: 同僚から励まされた, Why: 落ち込んでいたから, How: 同僚が「気にしないで、次があるよ」と慰めてくれた

When: 学生時代, Where: 該当なし, Who: 私と片思いの相手, What: 好きな人に告白することができなかった, Why: 緊張しすぎて, How: 該当なし

When: 初めての海外旅行, Where: 現地のレストラン, Who: 私, What: 想像と全く違う料理が出てきた, Why: メニューが読めず適当に頼んだ, How: 該当なし

When: 友達の家で, Where: 友達の自宅, Who: 私と友達, What: ホームパーティー, Why: 該当なし, How: 該当なし

When: 私の誕生日, Where: 該当なし, Who: 私と友達, What: 友達からサプライズでプレゼント, Why: 私の誕生日だったから, How: 該当なし

When: 退社途中, Where: 帰り道, Who: 私, What: 美しい夕焼けを写真に収めた, Why: 夕焼けが綺麗だった, How: 該当なし

When: ある日, Where: 混雑した電車内, Who: 私と前の席の人, What: 前の席の人に席を譲ってもらった, Why: 私が座れずに立っていたから, How: 前に立っていた私に席を譲ってくれた

When: 夜遅くまで勉強していた時, Where: 自宅, Who: 私と家族, What: 家族がお茶を差し入れてくれた, Why: 私が夜遅くまで勉強していたから, How: 該当なし

When: 友達と海へ遊びに行った時, Where: 海辺, Who: 私と友達, What: サンダルを片方なくした, Why: 波にさらわれた, How: 該当なし

When: 大学の卒業式, Where: 大学, Who: 私と友達, What: 友達と別れを告げた, Why: 卒業式だったので, How: 該当なし

When: 初めて登山をした時, Where: 山, Who: 私, What: 道に迷って下山が遅くなった, Why: 道を間違えてしまった, How: 該当なし

When: 友達の結婚式, Where: 結婚式場, Who: 私, What: スピーチで言葉に詰まってしまった, Why: 緊張していた, How: 該当なし

When: 嵐の日, Where: 該当なし, Who: 私, What: 傘が強風で壊れた, Why: 強風の為, How: 該当なし

When: 初めて飛行機に乗った時, Where: 機内, Who: 私と隣の席の乗客, What: 怖くて隣の人の腕を掴んでしまった, Why: 離陸が怖かった, How: 該当なし

When: 友達と花火大会へ, Where: 花火大会の会場, Who: 私と友達, What: 人混みで花火の音しか聞こえなかった, Why: 人が多すぎた, How: 該当なし

When: 引っ越し作業中, Where: 新居, Who: 私, What: 荷物を詰め込みすぎて段ボールが破れてしまった, Why: 荷物の詰めすぎ, How: ガムテープで応急処置した

When: 仕事で何日も徹夜したある日, Where: オフィス, Who: 私, What: 朝焼けを見て達成感に浸る, Why: 徹夜で仕事をやり遂げたから, How: 該当なし

When: 初めて給料をもらった日, Where: レストラン, Who: 私と両親, What: 両親に食事をご馳走した, Why: 該当なし, How: 該当なし

When: 電車に乗っていた時, Where: 電車の中, Who: 私と赤ちゃん, What: 赤ちゃんにじっと見つめられた, Why: 該当なし, How: 該当なし

When: 友達とカラオケ, Where: カラオケボックス, Who: 私と友達, What: 友達の意外な一面を発見, Why: 該当なし, How: 該当なし

When: 中学校の体育祭, Where: 学校のグラウンド, Who: 私とクラスメイト, What: 走っていて転んで泥だらけになった, Why: 一生懸命走っていたから, How: 該当なし

When: 子供の頃, Where: 釣堀, Who: 私と祖父, What: 初めて魚釣りで魚を釣った, Why: 該当なし, How: 該当なし

When: 飲食店でアルバイトをしていた時, Where: 店, Who: 私と常連さん, What: 常連客に感謝の言葉を伝えられた, Why: いつも笑顔で接客していたから, How: 該当なし

When: 旅行先のホテルで, Where: ホテル, Who: 私, What: 間違えて他の人の部屋をノックしてしまった, Why: 部屋番号を間違えた, How: 該当なし

When: 台風の最中, Where: 外, Who: 私, What: 傘が壊れてびしょ濡れになった, Why: 台風の影響, How: 該当なし

When: 仕事のプレゼン, Where: 会議室, Who: 私, What: プレゼンの最初のスライドを飛ばしてしまった, Why: 緊張のあまり, How: 該当なし

When: 友達と食べ放題に行った時, Where: レストラン, Who: 私と友達, What: 食べ過ぎて後悔, Why: 欲張って料理を取りすぎた, How: 該当なし

When: 修学旅行中, Where: ホテルの部屋, Who: 私達と先生, What: 枕投げをして先生に叱られた, Why: 枕投げをしていたから, How: 該当なし

When: 初めてバーベキューをした時, Where: バーベキュー場, Who: 私, What: 焼きすぎて肉を焦がしてしまった, Why: 該当なし, How: 該当なし

When: コンビニで買い物をした時, Where: コンビニ, Who: 私と店員, What: お釣りをもらわずに店を出そうとした, Why: 該当なし, How: 該当なし

When: 久々に実家へ帰省した時, Where: 実家, Who: 私と母, What: 母の手料理を食べた, Why: 該当なし, How: 該当なし

When: 街中を歩いている時, Where: 道路, Who: 私と外国人観光客, What: 外国人観光客に道案内, Why: 外国人観光客に道を聞かれた, How: 拙い英語で

When: 学生の頃, Where: 該当なし, Who: 私と友達, What: 友達と夜遅くまで話をした, Why: 該当なし, How: 該当なし

When: 混雑した電車に乗っていた時, Where: 満員電車内, Who: 私, What: 乗り過ごしてしまった, Why: イヤホンのコードが絡まってほどいているうちに, How: 該当なし

When: 友達の家に遊びに行った時, Where: 友達の家, Who: 私, What: 砂糖と塩を間違えてお茶に入れてしまった, Why: 該当なし, How: 該当なし

When: 幼い頃, Where: 該当なし, Who: 私, What: 買ったおもちゃが期待外れだった, Why: おもちゃが思ったほど面白くなかった, How: 貯めていたお年玉で買った

When: 仕事で大きな失敗をしてしまった時, Where: 会社, Who: 私と上司, What: 上司に励ましてもらった, Why: 仕事で大きなミスをしたから, How: 上司が優しい言葉をかけてくれた

When: 該当なし, Where: 該当なし, Who: 私, What: 自転車のチェーンが外れた, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私, What: アイスを落としてしまった, Why: 該当なし, How: 該当なし

When: 友達とドライブ, Where: 車の中, Who: 私と友達, What: 道に迷ったけれど、綺麗な景色を見つけた, Why: 間違った道に入ってしまった, How: 該当なし

When: 海外旅行, Where: 海外, Who: 私と地元の人, What: 地元の人に話しかけられた, Why: 該当なし, How: 該当なし

When: 小さい頃, Where: 該当なし, Who: 私, What: スイカの種を飲み込んでしまった, Why: スイカの種を飲み込むとお腹の中でスイカが育つと思っていた, How: 該当なし

When: 仕事から帰る途中, Where: 帰り道, Who: 私と猫, What: 野良猫が後をついてきた, Why: 該当なし, How: 該当なし

When: 電車に乗っている時, Where: 電車内, Who: 私と隣の乗客, What: 隣の人が私の肩にもたれかかって寝ていた, Why: 該当なし, How: 該当なし

When: 初めてスキーに行った時, Where: スキー場, Who: 私, What: スキーで転んでしまった, Why: 該当なし, How: 該当なし

When: 友達と待ち合わせ, Where: 待ち合わせ場所, Who: 私と友達, What: 待ち合わせ場所を間違えてしまった, Why: お互い違う場所だと勘違いしていた, How: 該当なし

When: 一人旅, Where: 旅行先, Who: 私と現地で出会った人, What: 現地で知り合った人と観光, Why: 該当なし, How: 該当なし

When: ある日, Where: 自宅, Who: 私と家族, What: 家の鍵を忘れて家に入れなかった, Why: 鍵を持って出るのを忘れた, How: 該当なし

When: 試験勉強をしていた時, Where: 自宅, Who: 私, What: うっかり2時間も寝てしまった, Why: 眠気に負けて, How: 該当なし

When: 旅行中, Where: 観光地, Who: 私, What: 撮った写真に自分の指が写っていた, Why: 該当なし, How: 該当なし

When: 料理をしている時, Where: キッチン, Who: 私, What: スマートフォンを鍋に落としそうになった, Why: スマホを見ながら料理をしていた, How: 該当なし

When: ある日道端を歩いていると, Where: 道路, Who: 私と財布の落とし主, What: 落ちていた財布を交番に届けた, Why: 該当なし, How: 該当なし

When: 高校の卒業式, Where: 学校, Who: 私と先生, What: 感動して涙が止まらなかった, Why: 先生の言葉に感動した, How: 該当なし

When: 幼かった頃, Where: 友達の家, Who: 私, What: かくれんぼ中に寝てしまった, Why: 該当なし, How: 該当なし

When: 電車の中, Where: 電車内, Who: 私と見知らぬ人, What: 知らない人と目が合った, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 映画館, Who: 私, What: 一人で映画を観に行った, Why: 該当なし, How: 該当なし

When: 友達の誕生日, Where: レストラン, Who: 私と友達, What: 誕生日プレゼントを渡すのを忘れた, Why: 該当なし, How: 該当なし

When: 小学生の頃, Where: 学校, Who: 私と先生, What: 先生に言われたことを一生懸命練習してできるようになった, Why: 先生に励まされたから, How: 該当なし

When: 雨上がりの午後, Where: 該当なし, Who: 私, What: 虹を見つけた, Why: 該当なし, How: 該当なし

When: 小学生の時, Where: 自宅, Who: 私と友達, What: 遠足のお菓子を前日に食べてしまい、当日友達に少し分けてもらった, Why: 遠足のお菓子を全部食べてしまったから, How: 該当なし

When: 初めてのアルバイト, Where: アルバイト先, Who: 私とお客さん, What: レジでお釣りを間違えて渡してしまった, Why: 該当なし, How: 該当なし

When: 真夜中, Where: 自宅, Who: 私と家族, What: 冷蔵庫の前で家族とバッタリ会った, Why: のどが渇いたので水を飲もうとした, How: 該当なし

When: 旅行中, Where: 観光地, Who: 私, What: 靴擦れを起こした, Why: 該当なし, How: 絆創膏を貼って対処した

When: 該当なし, Where: カフェ, Who: 私と友達, What: 注文するのを忘れてしまった, Why: 話に夢中になっていた, How: 該当なし

When: 高校の授業中, Where: 教室, Who: 私と先生とクラスメート, What: 先生の冗談で思わず笑ってしまった, Why: 先生の冗談が面白かった, How: 該当なし

When: 出かける直前, Where: 家, Who: 私と家族, What: 洗濯物を干し忘れていたが、家族が干しておいてくれた, Why: 該当なし, How: 家族が洗濯物を干してくれた

When: 該当なし, Where: 映画館, Who: 私と隣の席の人, What: ドリンクをこぼしてしまった, Why: 該当なし, How: 該当なし

When: 運動会当日, Where: 運動場, Who: 私とチームメイト, What: リレーで転んでしまった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私, What: 誤って食べ物をこぼしてしまった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私と通行人, What: 道に迷っていたら通行人に道を教えてもらった, Why: 道に迷っていた, How: 地図アプリで現在地を確認していた時に、通りすがりの人が声をかけてくれた

When: 該当なし, Where: 該当なし, Who: 私と友達, What: 友達と同じ言葉を同時に言ってしまった, Why: 該当なし, How: 該当なし

When: 新しい靴を履いて出かけた日, Where: 該当なし, Who: 私, What: 靴が泥で汚れてしまった, Why: 雨が降っていた, How: 該当なし

When: 修学旅行の夜, Where: 旅館, Who: 私と先生, What: 先生が見回りに来る気配を感じて布団の中に隠れた, Why: 先生に見つかりたくなかった, How: 該当なし

When: 該当なし, Where: 該当なし, Who: 私, What: 仕事のメールで「お世話になっておりません」と書いて送ってしまった, Why: タイプミス, How: メールで送信

When: 該当なし, Where: 該当なし, Who: 私と友達と見知らぬ人, What: 撮った写真に見知らぬ人が写り込んでいた, Why: 該当なし, How: 該当なし

When: 電車に乗っていた時, Where: 電車の中, Who: 私と隣の乗客, What: 隣の乗客と同じ動画を見ていた, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 美術館, Who: 私と周りの人, What: 周りの人と同じ感想を呟いてしまった, Why: 該当なし, How: 該当なし

When: 試験の前日, Where: 家, Who: 私, What: 勉強中に寝落ちしてしまった, Why: 徹夜で勉強しようとしたが、眠気に負けてしまった, How: 該当なし

When: 該当なし, Where: カフェ, Who: 私, What: 注文と違う商品が来たが、そのまま食べてしまった, Why: 思ったより美味しかったから, How: 該当なし

When: 幼い頃, Where: 該当なし, Who: 私, What: バナナの皮を踏んで転んでしまった, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 街中, Who: 私と友達と昔の同級生, What: 偶然昔の同級生に会った, Why: 該当なし, How: 該当なし

