Topic,When,Where,Who,What,Why,How,Label
1,日曜日の午前,自宅,私,コーヒーを飲みながら読書をする,リラックスするため,ゆっくりと,true
1,休日の朝,家,自分,コーヒーを片手に読書,くつろぐため,のんびりと,true
1,日曜の朝,自宅のソファ,一人で,本を読みながらコーヒーを飲む,落ち着きたいから,静かに,true
1,日曜日の午前中,マンション,自分,読書しながらコーヒー,リラックスしたい,穏やかに,true
1,休日の午前,自分の部屋,一人で,コーヒーと読書,落ち着くため,静かに,true
1,日曜の朝方,自宅,私,読書とコーヒータイム,リラックスしたい,のんびり,true
1,休日の午前中,家,自分,コーヒータイムと読書,くつろぎたい,ゆったりと,true
1,日曜午前,アパート,一人で,コーヒーを飲みつつ読書,気分転換のため,まったりと,true
1,休日の朝,自宅のリビング,私,コーヒーと小説,リラックス,静かに,true
1,日曜の午前中,マンションの一室,自分,読書タイムと共にコーヒー,休息のため,ゆっくり,true
1,朝の読書時間,図書室,私,本だけを読む,勉強のため,真剣に,false
1,日曜の午前,キッチン,一人で,コーヒーを淹れる,目覚めるため,丁寧に,false
1,休日の朝,カフェ,友人と,モーニングを食べる,おしゃべりのため,楽しく,false
1,土曜の午前,公園,自分,ジョギングをする,運動のため,爽快に,false
1,日曜日の朝,自宅,家族と,朝食を作る,栄養補給のため,手際よく,false
1,休日の午前,書斎,一人で,パソコン作業,仕事のため,集中して,false
1,日曜の昼前,ベランダ,私,植物の水やり,ガーデニングのため,丁寧に,false
1,休日の朝,居間,自分,テレビを見る,情報収集のため,ぼんやりと,false
1,土曜の午前中,台所,一人で,掃除をする,衛生管理のため,念入りに,false
1,日曜の午前,寝室,私,布団を整理する,部屋の片付けのため,テキパキと,false
2,平日の夜,自宅,私,ギターを練習する,上達のため,集中して,true
2,仕事終わりの夜,家,自分,ギターの練習をする,技術向上のため,真剣に,true
2,夜,自分の部屋,一人で,ギターを弾いて練習,スキルアップのため,熱心に,true
2,平日夜,アパート,自分,ギターの練習時間,腕を磨くため,丁寧に,true
2,夜の時間,自宅,私,ギター練習,上達したい,熱心に,true
2,仕事後の夜,マンション,自分,ギターレッスン,目標達成のため,ひたむきに,true
2,平日夜,自室,一人で,ギターを弾く練習,音楽表現のため,集中して,true
2,夜,アパートの一室,自分,ギターの自主練,プロを目指して,真剣に,true
2,仕事後,自宅練習室,私,ギター,技術向上,集中,true
2,夜間,自分の部屋,自分,楽器練習(ギター),趣味のため,熱中して,true
2,夜の時間,スタジオ,私,ドラムを練習する,バンド活動のため,激しく,false
2,仕事後,ジム,一人で,筋トレをする,体力づくりのため,精力的に,false
2,平日の夜,カフェ,友人と,雑談する,気分転換のため,楽しく,false
2,夜間,公園,自分,ジョギングする,健康維持のため,軽やかに,false
2,夜の帰宅後,リビング,家族と,テレビを見る,団らんのため,和やかに,false
2,仕事終わり,居酒屋,同僚と,飲み会をする,親睦を深めるため,賑やかに,false
2,平日夜,図書館,一人で,資格の勉強,キャリアアップのため,必死に,false
2,夜,キッチン,自分,夕食を作る,空腹を満たすため,手早く,false
2,夜間,書斎,私,パソコン作業,仕事の準備のため,静かに,false
2,仕事後の夜,浴室,一人,入浴する,疲労回復のため,ゆっくりと,false
3,朝の通勤時間,電車の中,私,ニュースアプリを読む,情報収集のため,静かに,true
3,通勤電車,車内,自分,スマホでニュースチェック,最新情報を得るため,黙々と,true
3,平日の朝,電車内,一人で,ニュースを確認する,時事把握のため,集中して,true
3,通勤中,電車席,自分,ニュースアプリを見る,情報を得るため,真剣に,true
3,通勤電車内,座席,私,ニュースサイトを読む,情報収集,静かに,true
3,朝の通勤,車内,自分,スマホでニュース,情報を得るため,黙々と,true
3,平日朝の通勤時間,電車,一人で,ニュース記事を読む,時事問題の把握,集中して,true
3,通勤時,電車の中,自分,ニュースアプリチェック,情報収集目的,真剣に,true
3,朝の通勤時間帯,電車内,私,ニュース速報確認,情報更新のため,静かに,true
3,電車通勤中,車中,自分,携帯でニュース,情報入手,黙々と,true
3,朝の電車,座席,私,漫画を読む,娯楽のため,楽しく,false
3,通勤時間,バス,一人で,音楽を聴く,リラックスのため,のんびりと,false
3,平日朝,駅のホーム,自分,コーヒーを買う,目覚めるため,急いで,false
3,通勤,歩道,私,ウォーキング,運動不足解消のため,颯爽と,false
3,朝の時間,オフィス,同僚と,ミーティング,業務確認のため,真面目に,false
3,通勤中,自転車,一人,サイクリング,健康のため,爽快に,false
3,平日の朝,カフェ,自分,モーニング,朝食のため,ゆっくりと,false
3,通勤時,車,私,ラジオを聴く,気分転換のため,穏やかに,false
3,朝,コンビニ,一人で,買い物をする,日用品補充のため,手早く,false
3,通勤路,公園,自分,ストレッチ,体調管理のため,丁寧に,false
4,土曜の午前,キッチン,私,パン作りをする,趣味として楽しむため,丁寧に,true
4,休日の朝,台所,自分,パンを焼く,手作りパンを作るため,慎重に,true
