When: 小学生の時, Where: 該当なし, Who: 私, What: 初めて自転車に乗れた, Why: 該当なし, How: 父が後ろで支えてくれていた

When: 旅行中, Where: ホテルの付近, Who: 私と友人, What: ホテルの場所が分からず迷子になった, Why: 該当なし, How: 最終的に地元の人が案内してくれた

When: 初めてのアルバイトの時, Where: アルバイト先, Who: 私, What: レジでお釣りを間違えた, Why: 緊張しすぎて, How: 該当なし

When: 社会人になって初めての給料日, Where: 該当なし, Who: 私, What: 両親にプレゼントを贈った, Why: 該当なし, How: 該当なし

When: 修学旅行の夜, Where: 布団の中, Who: 私と友人, What: 先生に見つかるまで話していた, Why: 該当なし, How: 該当なし

When: 雨の日, Where: 帰宅途中, Who: 私, What: 傘を忘れずぶ濡れになった, Why: 傘を忘れたため, How: 該当なし

When: 小さい頃, Where: 該当なし, Who: 私, What: お年玉を全部使い切った, Why: 該当なし, How: 該当なし

When: 通学途中, Where: 該当なし, Who: 私, What: 財布を落とした, Why: 該当なし, How: 親切な人が交番に届けてくれた

When: 初めて一人暮らしをしたとき, Where: 家, Who: 私, What: 服を全部縮ませてしまった, Why: 洗濯機の使い方が分からなかったため, How: 洗濯機を誤って使用した

When: 友人の結婚式, Where: 結婚式場, Who: 私, What: スピーチの原稿を忘れた, Why: 緊張しすぎたため, How: アドリブで乗り切った

When: 初めて猫を飼ったとき, Where: 家, Who: 私と猫, What: 猫が初めて膝の上で寝てくれた, Why: 該当なし, How: 該当なし

When: 大学の試験前日, Where: 該当なし, Who: 私, What: 徹夜して勉強したが本番で頭が真っ白になった, Why: 無理な詰め込みをしたため, How: 徹夜で勉強した

When: 子供の頃, Where: お祭り, Who: 私, What: 金魚すくいで大量にすくったが、数匹しか生き残らなかった, Why: 該当なし, How: 金魚すくい

When: 旅行先, Where: 該当なし, Who: 私, What: 美味しい料理を食べた, Why: 該当なし, How: 該当なし

When: ある日, Where: 道端, Who: 私と見知らぬおばあさん, What: 道案内をした, Why: おばあさんに道を尋ねられたため, How: 該当なし

When: 仕事で失敗したとき, Where: 職場, Who: 私と上司, What: 上司に励まされた, Why: 私が落ち込んでいたため, How: 上司が言葉で励ました

When: 小学生の時, Where: 遠足中のバス, Who: 私と友人, What: お弁当を置き忘れた, Why: 該当なし, How: 友人がおにぎりを分けてくれた

When: 受験勉強中, Where: 家, Who: 私と母, What: 母が温かいお茶を入れてくれた, Why: 私が夜遅くまで勉強していたため, How: 該当なし

When: 旅行先, Where: 該当なし, Who: 私, What: カメラを落としてレンズが割れた, Why: 該当なし, How: 該当なし

When: 小学校の運動会, Where: 運動会会場, Who: 私とクラスメート, What: リレーで転んだ, Why: 緊張したため, How: 該当なし

When: 友人の誕生日, Where: 該当なし, Who: 私と友人, What: サプライズを計画したが台無しになった, Why: うっかり本人に話してしまったため, How: 該当なし

When: 初めての海外旅行, Where: 海外, Who: 私と親切な現地の人, What: 道に迷ったが助けてもらった, Why: 道に迷ったため, How: 英語で話しかけて助けを求めた

When: 中学の合唱コンクール, Where: 学校, Who: 私, What: 指揮者として合唱コンクールを終えた, Why: 該当なし, How: 指揮をした

When: 雨の日, Where: 駅, Who: 私と見知らぬ人, What: 見知らぬ人から傘をもらった, Why: 傘を忘れて途方に暮れていたため, How: 該当なし

When: ある日, Where: 電車内, Who: 私, What: 電車に乗り過ごした, Why: 寝てしまったため, How: 該当なし

When: 初めて料理に挑戦したとき, Where: 家, Who: 私, What: レシピを読まずに料理を作り失敗した, Why: レシピを読まなかったため, How: 該当なし

When: 友人と登山に行った時, Where: 山, Who: 私と友人, What: 登山, Why: 該当なし, How: 該当なし

When: 高校の文化祭の準備中, Where: 学校, Who: 私達, What: 段ボールを壊してしまった, Why: 段ボールの上に座ってしまったため, How: 該当なし

When: 仕事帰り, Where: 駅, Who: 私と駅員, What: 財布を落としたが駅員に届いていた, Why: 該当なし, How: 該当なし

When: 友人と映画を見に行った時, Where: 映画館, Who: 私と友人, What: 映画を見て感動した, Why: 該当なし, How: 該当なし

When: 祖母の家にて, Where: 祖母の家, Who: 私と祖母, What: 昔のアルバムを見た, Why: 該当なし, How: 該当なし

When: 初めての運転免許試験, Where: 試験場, Who: 私, What: 運転免許試験に不合格になった, Why: 緊張しすぎて縁石に乗り上げてしまったため, How: 該当なし

When: 友人とカフェで話していた時, Where: カフェ, Who: 私と友人と隣の席の人, What: 隣の席の人と意気投合した, Why: 同じ趣味を持っていたため, How: 該当なし

When: 小さい頃, Where: 家, Who: 私と親, What: クリスマスプレゼントを見つけてサンタの正体に気づいた, Why: 該当なし, How: プレゼントを探して家の中を探索していた

When: 社会人になって初めて後輩を指導する立場になった時, Where: 職場, Who: 私と後輩, What: 後輩を指導した, Why: 該当なし, How: 該当なし

When: 実家に帰った時, Where: 実家, Who: 私と飼い犬, What: 飼い犬と再会した, Why: 該当なし, How: 該当なし

When: 旅行中, Where: 旅行先, Who: 私, What: スマホの充電が切れて地図が見れなくなった, Why: スマホの充電が切れたため, How: 道行く人に聞いた

When: 初めてのボーナスをもらった時, Where: 高級レストラン, Who: 私, What: 高級レストランで食事をした, Why: ボーナスで贅沢をしようと思ったため, How: 該当なし

When: 高校時代, Where: 学校, Who: 私と先生, What: 先生に励まされた, Why: 該当なし, How: 先生が「君ならできる」と言った

When: ある日, Where: 電車内, Who: 私とお年寄り, What: お年寄りに席を譲った, Why: 該当なし, How: 該当なし

When: 友人と遊園地に行った時, Where: 遊園地, Who: 私と友人, What: ジェットコースターに乗る前にリタイアした, Why: ジェットコースターが怖すぎたため, How: 該当なし

When: 仕事でミスをした時, Where: 職場, Who: 私と同僚, What: 同僚に励まされた, Why: 私が落ち込んでいたため, How: 同僚が「大丈夫、次があるよ」と励ました

When: 学生時代, Where: 該当なし, Who: 私と好きな人, What: 好きな人に告白できなかった, Why: 緊張しすぎたため, How: 該当なし

When: 初めての海外, Where: 海外のレストラン, Who: 私, What: 予想外の料理が出てきた, Why: メニューが読めず適当に注文したため, How: 該当なし

When: 友人の家, Where: 友人の家, Who: 私と友人, What: ホームパーティーを開いた, Why: 該当なし, How: 該当なし

When: 誕生日, Where: 該当なし, Who: 私と友人, What: 友人にサプライズプレゼントをもらった, Why: 誕生日だったため, How: 該当なし

When: 仕事帰り, Where: 帰り道, Who: 私, What: 夕焼けの写真を撮った, Why: 夕焼けが綺麗だったため, How: 該当なし

When: ある日, Where: 満員電車, Who: 私と目の前の席の人, What: 席を譲られた, Why: 私が立っていたため, How: 目の前の席の人が声をかけてくれた

When: 夜遅くまで勉強していた時, Where: 家, Who: 私と家族, What: 家族がお茶を持ってきてくれた, Why: 私が夜遅くまで勉強していたため, How: 該当なし

When: 友人と海に行った時, Where: 海, Who: 私と友人, What: サンダルを片方失くした, Why: 波にさらわれたため, How: 該当なし

When: 大学の卒業式の日, Where: 大学, Who: 私と友人, What: 友人と別れた, Why: 卒業式だったため, How: 該当なし

When: 初めての登山, Where: 山, Who: 私, What: 道を間違えて予定より遅れて下山した, Why: 道を間違えたため, How: 該当なし

When: 友人の結婚式, Where: 結婚式場, Who: 私, What: スピーチで言葉が飛んでしまった, Why: 緊張したため, How: 該当なし

When: 大雨の日, Where: 該当なし, Who: 私, What: 傘が強風でひっくり返った, Why: 強風のため, How: 該当なし

When: 初めて飛行機に乗ったとき, Where: 飛行機内, Who: 私と隣の席の人, What: 隣の人の腕を掴んでしまった, Why: 離陸が怖かったため, How: 該当なし

When: 友人と花火大会に行った時, Where: 花火大会会場, Who: 私と友人, What: 人混みで花火の音だけを楽しんだ, Why: 人混みがすごすぎたため, How: 該当なし

When: 引っ越しの時, Where: 該当なし, Who: 私, What: 段ボールが破れた, Why: 荷物を詰めすぎたため, How: ガムテープで補強した

When: 仕事で徹夜が続いたある日, Where: 該当なし, Who: 私, What: 朝焼けを見ながら達成感を感じた, Why: 徹夜で仕事を頑張ったため, How: 該当なし

When: 初めての給料日, Where: 飲食店, Who: 私と両親, What: 両親を食事に招待した, Why: 該当なし, How: 該当なし

When: 電車内, Where: 電車内, Who: 私と赤ちゃん, What: 赤ちゃんと目が合った, Why: 該当なし, How: 該当なし

When: 友人とカラオケに行った時, Where: カラオケ, Who: 私と友人, What: 友人の意外な一面を知った, Why: 該当なし, How: 該当なし

When: 中学の体育祭, Where: 体育祭会場, Who: 私とクラスメート, What: 転んで泥だらけになった, Why: 全力で走ったため, How: 該当なし

When: 子供の頃, Where: 釣り場, Who: 私と祖父, What: 初めて魚を釣った, Why: 該当なし, How: 該当なし

When: 飲食店で働いていた時, Where: 飲食店, Who: 私と常連客, What: 常連客に感謝された, Why: 笑顔で接客していたため, How: 該当なし

When: 旅行先のホテル, Where: ホテル, Who: 私, What: 他人の部屋のドアをノックしてしまった, Why: 部屋を間違えたため, How: 該当なし

When: 台風の日, Where: 外, Who: 私, What: 傘が壊れてずぶ濡れになった, Why: 台風のため, How: 該当なし

When: 仕事のプレゼン, Where: 該当なし, Who: 私, What: プレゼンの最初のスライドを飛ばしてしまった, Why: 緊張しすぎたため, How: 該当なし

When: 友人と食べ放題に行った時, Where: 食べ放題の店, Who: 私と友人, What: 食べきれずに後悔した, Why: 欲張って取りすぎたため, How: 該当なし

When: 修学旅行の夜, Where: 宿舎, Who: 私達と先生, What: 枕投げをして先生に怒られた, Why: 枕投げをしていたため, How: 該当なし

When: 初めてのバーベキュー, Where: バーベキュー会場, Who: 私, What: 肉を焼きすぎた, Why: 該当なし, How: 該当なし

When: コンビニ, Where: コンビニ, Who: 私と店員, What: お釣りを受け取らずに帰ろうとした, Why: 該当なし, How: 該当なし

When: 久しぶりに実家に帰った時, Where: 実家, Who: 私と母, What: 母の料理を食べた, Why: 該当なし, How: 該当なし

When: 該当なし, Where: 道, Who: 私と外国人, What: 外国人に道案内をした, Why: 外国人に話しかけられたため, How: 片言の英語で

When: 学生時代, Where: 該当なし, Who: 私と友人, What: 友人と夜中まで語り合った, Why: 該当なし, How: 該当なし

When: 満員電車, Where: 満員電車, Who: 私, What: 目的の駅を通り過ぎてしまった, Why: イヤホンが絡まってほどいているうちに, How: 該当なし

